iteration	epoch	batch	time/img	loss_rgb	loss_normal	loss_laplacian	loss_perceptual	loss_uniform	loss_neighbor	loss_total	prop_head0	prop_head1	prop_head2	prop_head3	prop_head4	prop_head5
104000	41	1200	0.013274	0.010519	0.000296	0.000092	0.013875	0.000334	0.024609	0.049724	0.162650	0.167096	0.173856	0.163181	0.165494	0.167722
106000	42	630	0.013203	0.010423	0.000298	0.000092	0.013735	0.000334	0.024158	0.049039	0.164846	0.163596	0.170847	0.165158	0.164885	0.170668
108000	43	60	0.013189	0.010430	0.000300	0.000093	0.013746	0.000331	0.024190	0.049090	0.164674	0.164940	0.169941	0.160501	0.167847	0.172098
110000	43	2060	0.013266	0.010409	0.000304	0.000093	0.013710	0.000333	0.024253	0.049101	0.164062	0.162375	0.172437	0.162406	0.168625	0.170094
112000	44	1490	0.013125	0.010366	0.000300	0.000093	0.013661	0.000335	0.024161	0.048915	0.165557	0.162642	0.169878	0.163549	0.168980	0.169394
114000	45	920	0.013075	0.010436	0.000303	0.000093	0.013707	0.000335	0.024021	0.048894	0.164213	0.164127	0.171582	0.163220	0.166565	0.170293
116000	46	350	0.013228	0.010439	0.000302	0.000093	0.013712	0.000337	0.024271	0.049155	0.166159	0.161704	0.171090	0.163510	0.166495	0.171043
118000	46	2350	0.013217	0.010451	0.000303	0.000092	0.013739	0.000330	0.024131	0.049047	0.165500	0.166344	0.170125	0.160250	0.166313	0.171469
120000	47	1780	0.013329	0.010629	0.000306	0.000092	0.013861	0.000334	0.024518	0.049741	0.164041	0.165198	0.169105	0.164541	0.166854	0.170261
122000	48	1210	0.013307	0.010435	0.000304	0.000093	0.013661	0.000337	0.024152	0.048983	0.165565	0.165854	0.172551	0.161345	0.165049	0.169636
124000	49	640	0.013280	0.010256	0.000309	0.000093	0.013513	0.000335	0.023833	0.048339	0.167487	0.165659	0.172246	0.161189	0.163893	0.169527
126000	50	70	0.013620	0.010370	0.000302	0.000093	0.013609	0.000327	0.024098	0.048799	0.166112	0.163088	0.171238	0.163869	0.167096	0.168597
128000	50	2070	0.013718	0.010227	0.000305	0.000093	0.013488	0.000333	0.023645	0.048090	0.164594	0.164937	0.171094	0.164313	0.165594	0.169469
130000	51	1500	0.013464	0.010319	0.000309	0.000093	0.013509	0.000339	0.023910	0.048478	0.166714	0.163314	0.170496	0.163783	0.164869	0.170824
132000	52	930	0.013335	0.010223	0.000311	0.000093	0.013424	0.000330	0.023763	0.048144	0.164315	0.164846	0.168894	0.163900	0.167909	0.170136
134000	53	360	0.013304	0.010347	0.000312	0.000093	0.013515	0.000337	0.023898	0.048502	0.162814	0.166065	0.169894	0.161118	0.168448	0.171660
136000	53	2360	0.013405	0.010402	0.000312	0.000093	0.013558	0.000332	0.024208	0.048906	0.167219	0.165625	0.170281	0.160719	0.166750	0.169406
138000	54	1790	0.013328	0.010182	0.000306	0.000094	0.013349	0.000328	0.023825	0.048084	0.163525	0.167792	0.170769	0.160251	0.168980	0.168683
140000	55	1220	0.013319	0.010252	0.000311	0.000094	0.013429	0.000339	0.023827	0.048253	0.166971	0.163916	0.168097	0.162634	0.167964	0.170418
142000	56	650	0.013368	0.010308	0.000317	0.000094	0.013450	0.000331	0.023976	0.048476	0.165956	0.166026	0.168316	0.163744	0.168011	0.167948
144000	57	80	0.013472	0.010247	0.000315	0.000094	0.013380	0.000333	0.023718	0.048088	0.168042	0.164400	0.169972	0.162947	0.165643	0.168995
146000	57	2080	0.013400	0.010133	0.000309	0.000095	0.013312	0.000333	0.023680	0.047862	0.166250	0.162906	0.169469	0.163750	0.166375	0.171250
148000	58	1510	0.013317	0.010184	0.000313	0.000094	0.013324	0.000317	0.023701	0.047933	0.166628	0.164658	0.169964	0.164955	0.165354	0.168441
150000	59	940	0.013150	0.010021	0.000315	0.000095	0.013183	0.000329	0.023274	0.047218	0.165119	0.164064	0.170293	0.159946	0.169566	0.171012
152000	60	370	0.013350	0.010119	0.000316	0.000096	0.013234	0.000324	0.023367	0.047456	0.165573	0.163080	0.170816	0.163064	0.165612	0.171855
154000	60	2370	0.013302	0.010113	0.000307	0.000095	0.013248	0.000328	0.023743	0.047834	0.165656	0.163719	0.170063	0.164062	0.164687	0.171813
156000	61	1800	0.013424	0.010088	0.000307	0.000094	0.013209	0.000335	0.023541	0.047573	0.165338	0.165244	0.168144	0.162830	0.166549	0.171895
158000	62	1230	0.013316	0.010106	0.000313	0.000095	0.013219	0.000327	0.023362	0.047422	0.165018	0.168581	0.169863	0.162126	0.166784	0.167628
160000	63	660	0.013388	0.010036	0.000320	0.000095	0.013163	0.000334	0.023324	0.047271	0.166284	0.165463	0.168628	0.161970	0.165846	0.171809
162000	64	90	0.013312	0.009900	0.000310	0.000096	0.013034	0.000325	0.023175	0.046841	0.166034	0.165659	0.167878	0.163056	0.166088	0.171285
164000	64	2090	0.013332	0.010145	0.000313	0.000095	0.013279	0.000326	0.023613	0.047771	0.168563	0.164062	0.168156	0.162219	0.169250	0.167750
166000	65	1520	0.013337	0.010028	0.000317	0.000096	0.013192	0.000333	0.023369	0.047335	0.165455	0.165541	0.170246	0.163111	0.166057	0.169589
168000	66	950	0.013248	0.009930	0.000312	0.000096	0.013117	0.000334	0.023253	0.047041	0.164901	0.165409	0.170316	0.164729	0.166299	0.168347
170000	67	380	0.013749	0.010017	0.000310	0.000095	0.013132	0.000330	0.023307	0.047190	0.166229	0.165612	0.169871	0.161658	0.164877	0.171754
172000	67	2380	0.013322	0.010026	0.000315	0.000095	0.013180	0.000326	0.023413	0.047355	0.165094	0.163688	0.166531	0.163562	0.167687	0.173437
174000	68	1810	0.013604	0.009948	0.000313	0.000096	0.013100	0.000329	0.023324	0.047110	0.165010	0.165940	0.169566	0.162353	0.168284	0.168847
176000	69	1240	0.013569	0.010003	0.000313	0.000095	0.013075	0.000321	0.023186	0.046993	0.164736	0.166104	0.171926	0.160743	0.167589	0.168902
178000	70	670	0.013494	0.009957	0.000311	0.000096	0.013122	0.000327	0.023349	0.047163	0.162502	0.164627	0.169832	0.164174	0.165330	0.173536
180000	71	100	0.013356	0.010022	0.000315	0.000097	0.013038	0.000331	0.023388	0.047191	0.164627	0.165760	0.167784	0.164025	0.165276	0.172528
182000	71	2100	0.013278	0.009927	0.000310	0.000096	0.012978	0.000312	0.023138	0.046761	0.163938	0.165656	0.168781	0.165437	0.165594	0.170594
184000	72	1530	0.013300	0.009806	0.000312	0.000097	0.012871	0.000331	0.022813	0.046229	0.165565	0.162744	0.168902	0.165284	0.166135	0.171371
186000	73	960	0.013309	0.009824	0.000312	0.000097	0.012869	0.000326	0.022913	0.046342	0.164119	0.166034	0.170871	0.164658	0.162931	0.171387
188000	74	390	0.013371	0.009876	0.000317	0.000098	0.012917	0.000327	0.022959	0.046495	0.166034	0.164002	0.167956	0.163158	0.165182	0.173668
190000	74	2390	0.013357	0.009786	0.000309	0.000097	0.012869	0.000321	0.022951	0.046333	0.167406	0.164469	0.166969	0.164500	0.166406	0.170250
192000	75	1820	0.013397	0.009797	0.000316	0.000098	0.012830	0.000317	0.022849	0.046206	0.168276	0.164400	0.169667	0.161447	0.166018	0.170191
194000	76	1250	0.013293	0.009817	0.000312	0.000098	0.012855	0.000327	0.022988	0.046399	0.166721	0.164846	0.168886	0.163830	0.166221	0.169495
196000	77	680	0.013368	0.009743	0.000316	0.000098	0.012797	0.000326	0.022975	0.046256	0.167362	0.165893	0.169800	0.162892	0.162947	0.171105
198000	78	110	0.013430	0.009770	0.000312	0.000098	0.012823	0.000321	0.022829	0.046153	0.168386	0.166589	0.169144	0.162955	0.163713	0.169214
200000	78	2110	0.013458	0.009866	0.000313	0.000099	0.012871	0.000323	0.023044	0.046515	0.164719	0.165719	0.166469	0.166344	0.166094	0.170656
202000	79	1540	0.013362	0.009857	0.000310	0.000098	0.012845	0.000326	0.023015	0.046450	0.164987	0.165916	0.166565	0.163174	0.168370	0.170988
204000	80	970	0.013271	0.009655	0.000316	0.000099	0.012751	0.000329	0.022656	0.045807	0.164940	0.166026	0.169816	0.162064	0.166018	0.171137
206000	81	400	0.013182	0.009814	0.000312	0.000098	0.012833	0.000333	0.022897	0.046287	0.166229	0.164229	0.167972	0.163642	0.167839	0.170089
208000	81	2400	0.013412	0.009728	0.000317	0.000098	0.012815	0.000329	0.022793	0.046079	0.166375	0.164469	0.170063	0.160719	0.165969	0.172406
210000	82	1830	0.013388	0.009752	0.000313	0.000099	0.012819	0.000321	0.022954	0.046257	0.164619	0.166112	0.168120	0.163056	0.169019	0.169074
212000	83	1260	0.013298	0.009767	0.000315	0.000100	0.012782	0.000326	0.023017	0.046307	0.166495	0.165674	0.169495	0.164252	0.165745	0.168339
214000	84	690	0.013269	0.009731	0.000314	0.000100	0.012723	0.000325	0.022776	0.045970	0.166573	0.161720	0.168573	0.162369	0.166901	0.173864
216000	85	120	0.013158	0.009832	0.000313	0.000099	0.012821	0.000328	0.023169	0.046561	0.164033	0.168206	0.169495	0.161556	0.165854	0.170855
218000	85	2120	0.013185	0.009767	0.000316	0.000099	0.012746	0.000321	0.022781	0.046030	0.166437	0.164875	0.166594	0.162750	0.168375	0.170969
220000	86	1550	0.013246	0.009703	0.000313	0.000098	0.012722	0.000328	0.022619	0.045782	0.165877	0.165393	0.168331	0.163502	0.166729	0.170168
222000	87	980	0.013401	0.009701	0.000313	0.000099	0.012731	0.000320	0.022680	0.045844	0.165151	0.165057	0.171840	0.162877	0.164658	0.170418
224000	88	410	0.013242	0.009599	0.000319	0.000100	0.012659	0.000325	0.022439	0.045441	0.166800	0.166315	0.165455	0.164025	0.163869	0.173536
226000	88	2410	0.013357	0.009645	0.000317	0.000100	0.012657	0.000316	0.022341	0.045377	0.166281	0.165219	0.166750	0.165687	0.165219	0.170844
228000	89	1840	0.013137	0.009568	0.000324	0.000101	0.012595	0.000319	0.022508	0.045414	0.167307	0.166010	0.168245	0.163533	0.166292	0.168612
230000	90	1270	0.013243	0.009495	0.000323	0.000100	0.012494	0.000316	0.022382	0.045111	0.165268	0.165424	0.167706	0.164049	0.168206	0.169347
232000	91	700	0.013318	0.009400	0.000327	0.000102	0.012458	0.000325	0.022414	0.045025	0.168401	0.166338	0.166338	0.163447	0.168534	0.166940
234000	92	130	0.013193	0.009390	0.000328	0.000102	0.012416	0.000330	0.022196	0.044761	0.166229	0.165549	0.167808	0.163932	0.166018	0.170464
236000	92	2130	0.013293	0.009224	0.000328	0.000102	0.012261	0.000323	0.022037	0.044275	0.165500	0.163219	0.167156	0.164313	0.168625	0.171187
238000	93	1560	0.013153	0.009082	0.000333	0.000103	0.012141	0.000320	0.021816	0.043794	0.164463	0.162337	0.169464	0.165315	0.168706	0.169714
240000	94	990	0.013203	0.009121	0.000334	0.000103	0.012137	0.000328	0.021825	0.043847	0.168034	0.166628	0.169495	0.161611	0.163455	0.170777
242000	95	420	0.013207	0.009163	0.000329	0.000102	0.012207	0.000325	0.021823	0.043949	0.163408	0.164283	0.171222	0.164682	0.164705	0.171699
244000	95	2420	0.013284	0.009110	0.000334	0.000102	0.012145	0.000328	0.021596	0.043616	0.169031	0.165813	0.170937	0.161500	0.163938	0.168781
246000	96	1850	0.013279	0.009012	0.000332	0.000102	0.012033	0.000321	0.021684	0.043484	0.167300	0.161665	0.169027	0.165073	0.168316	0.168620
248000	97	1280	0.013276	0.009001	0.000333	0.000102	0.012049	0.000323	0.021546	0.043354	0.166284	0.165362	0.169378	0.161501	0.167550	0.169925
250000	98	710	0.013154	0.008953	0.000333	0.000103	0.012000	0.000321	0.021308	0.043018	0.168175	0.164471	0.168503	0.162134	0.165713	0.171004
252000	99	140	0.013132	0.008981	0.000329	0.000103	0.011979	0.000320	0.021349	0.043060	0.167550	0.163682	0.169449	0.163932	0.168597	0.166792
254000	99	2140	0.013184	0.008950	0.000335	0.000102	0.011972	0.000323	0.021555	0.043237	0.165563	0.165219	0.168500	0.162562	0.168656	0.169500
256000	100	1570	0.013253	0.008863	0.000331	0.000103	0.011890	0.000330	0.021224	0.042740	0.164744	0.165377	0.168823	0.163267	0.166979	0.170808
258000	101	1000	0.013100	0.008713	0.000338	0.000103	0.011740	0.000320	0.020998	0.042212	0.165784	0.165768	0.166331	0.163721	0.169050	0.169347
260000	102	430	0.013248	0.008779	0.000336	0.000104	0.011804	0.000317	0.021039	0.042379	0.164549	0.164486	0.169261	0.165393	0.167597	0.168714
262000	102	2430	0.013122	0.008743	0.000341	0.000104	0.011763	0.000324	0.020952	0.042227	0.166313	0.165313	0.167813	0.160562	0.167781	0.172219
264000	103	1860	0.013225	0.008762	0.000339	0.000104	0.011766	0.000325	0.020997	0.042294	0.167487	0.166002	0.166034	0.164697	0.166753	0.169027
266000	104	1290	0.013193	0.008653	0.000333	0.000104	0.011678	0.000331	0.020834	0.041933	0.167964	0.165698	0.169253	0.163025	0.168620	0.165440
268000	105	720	0.013196	0.008689	0.000338	0.000104	0.011687	0.000318	0.020821	0.041957	0.167839	0.163127	0.168902	0.165502	0.164104	0.170527
270000	106	150	0.013108	0.008624	0.000350	0.000105	0.011664	0.000322	0.020620	0.041685	0.167065	0.164838	0.167690	0.165956	0.164518	0.169933
272000	106	2150	0.013267	0.008714	0.000338	0.000104	0.011703	0.000324	0.020830	0.042014	0.168375	0.163094	0.167594	0.164750	0.166344	0.169844
